value,record,element,collection
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
United StatesCongressHouse,14,name,loc
Democratic Party,14,name,loc
Official Campaign Website - Marcy Kaptur,14,titleInfo,loc
United States Elections Web Archive,14,titleInfo,loc
Researcher and Reference Services Division,14,titleInfo,loc
dlc20221128lcwaN0000551eng,13,recordInfo,loc
lcwaN0000551,13,identifier,loc
2205,13,identifier,loc
http://www.kanno2006.com/,13,identifier,loc
886,13,identifier,loc
general,13,targetAudience,loc
2006062120080819,13,originInfo,loc
United States Elections Web Archive,13,relatedItem,loc
Researcher and Reference Services Division,13,relatedItem,loc
http://www.kanno2006.com/886http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000886.jpgNone2006062120080819,13,relatedItem,loc
website,13,genre,loc
None,13,part,loc
text,13,typeOfResource,loc
None,13,accessCondition,loc
"Kanno, John",13,subject,loc
Political candidatesUnited States,13,subject,loc
ElectionsUnited States,13,subject,loc
Politics and governmentUnited States,13,subject,loc
"United States Elections, 2006",13,subject,loc
United StatesCongressHouse,13,subject,loc
Republican Party,13,subject,loc
California,13,subject,loc
California (18th Congressional District),13,subject,loc
electronictext/htmlborn digital,13,physicalDescription,loc
eng,13,language,loc
"Kanno, John",13,name,loc
"Kanno, John",13,name,loc
United StatesCongressHouse,13,name,loc
Republican Party,13,name,loc
Official Campaign Website - John Kanno,13,titleInfo,loc
United States Elections Web Archive,13,titleInfo,loc
Researcher and Reference Services Division,13,titleInfo,loc
dlc20221128lcwaN0000573eng,12,recordInfo,loc
lcwaN0000573,12,identifier,loc
704,12,identifier,loc
http://www.billsali.com/,12,identifier,loc
913,12,identifier,loc
general,12,targetAudience,loc
2006062120081126,12,originInfo,loc
United States Elections Web Archive,12,relatedItem,loc
Researcher and Reference Services Division,12,relatedItem,loc
http://www.billsali.com/913http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000913.jpgNone2006062120081126,12,relatedItem,loc
website,12,genre,loc
None,12,part,loc
text,12,typeOfResource,loc
None,12,accessCondition,loc
"Sali, Bill",12,subject,loc
Political candidatesUnited States,12,subject,loc
ElectionsUnited States,12,subject,loc
Politics and governmentUnited States,12,subject,loc
"United States Elections, 2006",12,subject,loc
United StatesCongressHouse,12,subject,loc
Republican Party,12,subject,loc
Idaho,12,subject,loc
Idaho (1st Congressional District),12,subject,loc
"United States Elections, 2008",12,subject,loc
United StatesCongressHouse,12,subject,loc
Republican Party,12,subject,loc
Idaho,12,subject,loc
Idaho (1st Congressional District),12,subject,loc
electronictext/htmlborn digital,12,physicalDescription,loc
eng,12,language,loc
"Sali, Bill",12,name,loc
"Sali, Bill",12,name,loc
United StatesCongressHouse,12,name,loc
Republican Party,12,name,loc
United StatesCongressHouse,12,name,loc
Republican Party,12,name,loc
Official Campaign Website - Bill Sali,12,titleInfo,loc
United States Elections Web Archive,12,titleInfo,loc
Researcher and Reference Services Division,12,titleInfo,loc
dlc20221128lcwaN0000549eng,11,recordInfo,loc
lcwaN0000549,11,identifier,loc
2144,11,identifier,loc
http://www.texansforkay.com/,11,identifier,loc
884,11,identifier,loc
general,11,targetAudience,loc
2006060120061213,11,originInfo,loc
United States Elections Web Archive,11,relatedItem,loc
Researcher and Reference Services Division,11,relatedItem,loc
http://www.texansforkay.com/884http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000884.jpgNone2006060120061213,11,relatedItem,loc
website,11,genre,loc
None,11,part,loc
text,11,typeOfResource,loc
None,11,accessCondition,loc
"Hutchison, Kay Bailey",11,subject,loc
Political candidatesUnited States,11,subject,loc
ElectionsUnited States,11,subject,loc
Politics and governmentUnited States,11,subject,loc
"United States Elections, 2006",11,subject,loc
United StatesCongressSenate,11,subject,loc
Republican Party,11,subject,loc
Texas,11,subject,loc
electronictext/htmlborn digital,11,physicalDescription,loc
eng,11,language,loc
"Hutchison, Kay Bailey",11,name,loc
"Hutchison, Kay Bailey",11,name,loc
United StatesCongressSenate,11,name,loc
Republican Party,11,name,loc
Official Campaign Website - Kay Bailey Hutchison,11,titleInfo,loc
United States Elections Web Archive,11,titleInfo,loc
Researcher and Reference Services Division,11,titleInfo,loc
dlc20221128lcwaN0000508eng,10,recordInfo,loc
lcwaN0000508,10,identifier,loc
2138,10,identifier,loc
http://www.blasdelforcongress.com/,10,identifier,loc
828,10,identifier,loc
general,10,targetAudience,loc
2006062120061213,10,originInfo,loc
United States Elections Web Archive,10,relatedItem,loc
Researcher and Reference Services Division,10,relatedItem,loc
http://www.blasdelforcongress.com/828http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000828.jpgNone2006062120061213,10,relatedItem,loc
website,10,genre,loc
None,10,part,loc
text,10,typeOfResource,loc
None,10,accessCondition,loc
"Blasdel, Chuck",10,subject,loc
Political candidatesUnited States,10,subject,loc
ElectionsUnited States,10,subject,loc
Politics and governmentUnited States,10,subject,loc
"United States Elections, 2006",10,subject,loc
United StatesCongressHouse,10,subject,loc
Republican Party,10,subject,loc
Ohio,10,subject,loc
Ohio (6th Congressional District),10,subject,loc
electronictext/htmlborn digital,10,physicalDescription,loc
eng,10,language,loc
"Blasdel, Chuck",10,name,loc
"Blasdel, Chuck",10,name,loc
United StatesCongressHouse,10,name,loc
Republican Party,10,name,loc
Official Campaign Website - Chuck Blasdel,10,titleInfo,loc
United States Elections Web Archive,10,titleInfo,loc
Researcher and Reference Services Division,10,titleInfo,loc
dlc20221128lcwaN0000507eng,9,recordInfo,loc
lcwaN0000507,9,identifier,loc
2150,9,identifier,loc
http://garybinderim.com/,9,identifier,loc
827,9,identifier,loc
general,9,targetAudience,loc
2006062120061213,9,originInfo,loc
United States Elections Web Archive,9,relatedItem,loc
Researcher and Reference Services Division,9,relatedItem,loc
http://garybinderim.com/827http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000827.jpgNone2006062120061213,9,relatedItem,loc
website,9,genre,loc
None,9,part,loc
text,9,typeOfResource,loc
None,9,accessCondition,loc
"Binderim, Gary E.",9,subject,loc
Political candidatesUnited States,9,subject,loc
ElectionsUnited States,9,subject,loc
Politics and governmentUnited States,9,subject,loc
"United States Elections, 2006",9,subject,loc
United StatesCongressHouse,9,subject,loc
Democratic Party,9,subject,loc
Texas,9,subject,loc
Texas (2nd Congressional District),9,subject,loc
electronictext/htmlborn digital,9,physicalDescription,loc
eng,9,language,loc
"Binderim, Gary E.",9,name,loc
"Binderim, Gary E.",9,name,loc
United StatesCongressHouse,9,name,loc
Democratic Party,9,name,loc
Official Campaign Website - Gary E. Binderim,9,titleInfo,loc
United States Elections Web Archive,9,titleInfo,loc
Researcher and Reference Services Division,9,titleInfo,loc
dlc20221128lcwaN0000506eng,8,recordInfo,loc
lcwaN0000506,8,identifier,loc
2160,8,identifier,loc
http://www.sharonbeeryforcongress.com/,8,identifier,loc
826,8,identifier,loc
general,8,targetAudience,loc
2006062120061213,8,originInfo,loc
United States Elections Web Archive,8,relatedItem,loc
Researcher and Reference Services Division,8,relatedItem,loc
http://www.sharonbeeryforcongress.com/826http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000826.jpgNone2006062120061213,8,relatedItem,loc
website,8,genre,loc
None,8,part,loc
text,8,typeOfResource,loc
None,8,accessCondition,loc
"Beery, Sharon",8,subject,loc
Political candidatesUnited States,8,subject,loc
ElectionsUnited States,8,subject,loc
Politics and governmentUnited States,8,subject,loc
"United States Elections, 2006",8,subject,loc
United StatesCongressHouse,8,subject,loc
Democratic Party,8,subject,loc
California,8,subject,loc
California (22nd Congressional District),8,subject,loc
electronictext/htmlborn digital,8,physicalDescription,loc
eng,8,language,loc
"Beery, Sharon",8,name,loc
"Beery, Sharon",8,name,loc
United StatesCongressHouse,8,name,loc
Democratic Party,8,name,loc
Official Campaign Website - Sharon Beery,8,titleInfo,loc
United States Elections Web Archive,8,titleInfo,loc
Researcher and Reference Services Division,8,titleInfo,loc
dlc20221128lcwaN0000505eng,7,recordInfo,loc
lcwaN0000505,7,identifier,loc
2221,7,identifier,loc
http://barnwellforcongress.com/,7,identifier,loc
825,7,identifier,loc
general,7,targetAudience,loc
2006060120061213,7,originInfo,loc
United States Elections Web Archive,7,relatedItem,loc
Researcher and Reference Services Division,7,relatedItem,loc
http://barnwellforcongress.com/825http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000825.jpgNone2006060120061213,7,relatedItem,loc
website,7,genre,loc
None,7,part,loc
text,7,typeOfResource,loc
None,7,accessCondition,loc
"Barnwell, Tim",7,subject,loc
Political candidatesUnited States,7,subject,loc
ElectionsUnited States,7,subject,loc
Politics and governmentUnited States,7,subject,loc
"United States Elections, 2006",7,subject,loc
United StatesCongressHouse,7,subject,loc
Democratic Party,7,subject,loc
Texas,7,subject,loc
Texas (26th Congressional District),7,subject,loc
electronictext/htmlborn digital,7,physicalDescription,loc
eng,7,language,loc
"Barnwell, Tim",7,name,loc
"Barnwell, Tim",7,name,loc
United StatesCongressHouse,7,name,loc
Democratic Party,7,name,loc
Official Campaign Website - Tim Barnwell,7,titleInfo,loc
United States Elections Web Archive,7,titleInfo,loc
Researcher and Reference Services Division,7,titleInfo,loc
dlc20221128lcwaN0000504eng,6,recordInfo,loc
lcwaN0000504,6,identifier,loc
2206,6,identifier,loc
http://www.voteaurbach.com/,6,identifier,loc
824,6,identifier,loc
general,6,targetAudience,loc
2006062120061213,6,originInfo,loc
United States Elections Web Archive,6,relatedItem,loc
Researcher and Reference Services Division,6,relatedItem,loc
http://www.voteaurbach.com/824http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000824.jpgNone2006062120061213,6,relatedItem,loc
website,6,genre,loc
None,6,part,loc
text,6,typeOfResource,loc
None,6,accessCondition,loc
"Aurbach, Wilson",6,subject,loc
Political candidatesUnited States,6,subject,loc
ElectionsUnited States,6,subject,loc
Politics and governmentUnited States,6,subject,loc
"United States Elections, 2006",6,subject,loc
United StatesCongressHouse,6,subject,loc
Republican Party,6,subject,loc
Texas,6,subject,loc
Texas (30th Congressional District),6,subject,loc
electronictext/htmlborn digital,6,physicalDescription,loc
eng,6,language,loc
"Aurbach, Wilson",6,name,loc
"Aurbach, Wilson",6,name,loc
United StatesCongressHouse,6,name,loc
Republican Party,6,name,loc
Official Campaign Website - Wilson Aurbach,6,titleInfo,loc
United States Elections Web Archive,6,titleInfo,loc
Researcher and Reference Services Division,6,titleInfo,loc
dlc20221128lcwaN0000503eng,5,recordInfo,loc
lcwaN0000503,5,identifier,loc
2189,5,identifier,loc
http://aumanforcongress.com/,5,identifier,loc
823,5,identifier,loc
general,5,targetAudience,loc
2006062120181107,5,originInfo,loc
United States Elections Web Archive,5,relatedItem,loc
Researcher and Reference Services Division,5,relatedItem,loc
http://aumanforcongress.com/823http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000823.jpgNone2006062120181107,5,relatedItem,loc
website,5,genre,loc
None,5,part,loc
text,5,typeOfResource,loc
None,5,accessCondition,loc
"Auman, Richard D.",5,subject,loc
Political candidatesUnited States,5,subject,loc
ElectionsUnited States,5,subject,loc
Politics and governmentUnited States,5,subject,loc
"United States Elections, 2006",5,subject,loc
United StatesCongressHouse,5,subject,loc
Democratic Party,5,subject,loc
Illinois,5,subject,loc
Illinois (16th Congressional District),5,subject,loc
electronictext/htmlborn digital,5,physicalDescription,loc
eng,5,language,loc
"Auman, Richard D.",5,name,loc
"Auman, Richard D.",5,name,loc
United StatesCongressHouse,5,name,loc
Democratic Party,5,name,loc
Official Campaign Website - Richard D. Auman,5,titleInfo,loc
United States Elections Web Archive,5,titleInfo,loc
Researcher and Reference Services Division,5,titleInfo,loc
dlc20221128lcwaN0000502eng,4,recordInfo,loc
lcwaN0000502,4,identifier,loc
2139,4,identifier,loc
http://www.ankrum2010.com/,4,identifier,loc
822,4,identifier,loc
http://tedankrum.com/cs,4,identifier,loc
821,4,identifier,loc
general,4,targetAudience,loc
2010080520101202,4,originInfo,loc
2006062120061214,4,originInfo,loc
United States Elections Web Archive,4,relatedItem,loc
Researcher and Reference Services Division,4,relatedItem,loc
http://www.ankrum2010.com/822http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000822.jpghttp://ankrum2010.com2010080520101202,4,relatedItem,loc
http://tedankrum.com/cs821http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000821.jpg2006062120061214,4,relatedItem,loc
website,4,genre,loc
http://ankrum2010.com,4,part,loc
text,4,typeOfResource,loc
None,4,accessCondition,loc
"Ankrum, George Theodore",4,subject,loc
Political candidatesUnited States,4,subject,loc
ElectionsUnited States,4,subject,loc
Politics and governmentUnited States,4,subject,loc
"United States Elections, 2006",4,subject,loc
United StatesCongressHouse,4,subject,loc
Democratic Party,4,subject,loc
Texas,4,subject,loc
Texas (10th Congressional District),4,subject,loc
"United States Elections, 2010",4,subject,loc
United StatesCongressHouse,4,subject,loc
Democratic Party,4,subject,loc
Texas,4,subject,loc
Texas (10th Congressional District),4,subject,loc
electronictext/htmlborn digital,4,physicalDescription,loc
eng,4,language,loc
"Ankrum, George Theodore",4,name,loc
"Ankrum, George Theodore",4,name,loc
United StatesCongressHouse,4,name,loc
Democratic Party,4,name,loc
United StatesCongressHouse,4,name,loc
Democratic Party,4,name,loc
Official Campaign Website - George Theodore Ankrum,4,titleInfo,loc
United States Elections Web Archive,4,titleInfo,loc
Researcher and Reference Services Division,4,titleInfo,loc
dlc20221128lcwaN0000501eng,3,recordInfo,loc
lcwaN0000501,3,identifier,loc
2183,3,identifier,loc
http://www.woodrowanderson.com/,3,identifier,loc
820,3,identifier,loc
general,3,targetAudience,loc
2006062120061213,3,originInfo,loc
United States Elections Web Archive,3,relatedItem,loc
Researcher and Reference Services Division,3,relatedItem,loc
http://www.woodrowanderson.com/820http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000820.jpgNone2006062120061213,3,relatedItem,loc
website,3,genre,loc
None,3,part,loc
text,3,typeOfResource,loc
None,3,accessCondition,loc
"Anderson, Woodrow Wilson, III",3,subject,loc
Political candidatesUnited States,3,subject,loc
ElectionsUnited States,3,subject,loc
Politics and governmentUnited States,3,subject,loc
"United States Elections, 2006",3,subject,loc
United StatesCongressHouse,3,subject,loc
Democratic Party,3,subject,loc
Arkansas,3,subject,loc
Arkansas (3rd Congressional District),3,subject,loc
electronictext/htmlborn digital,3,physicalDescription,loc
eng,3,language,loc
"Anderson, Woodrow Wilson, III",3,name,loc
"Anderson, Woodrow Wilson, III",3,name,loc
United StatesCongressHouse,3,name,loc
Democratic Party,3,name,loc
Official Campaign Website - Woodrow Wilson Anderson III,3,titleInfo,loc
United States Elections Web Archive,3,titleInfo,loc
Researcher and Reference Services Division,3,titleInfo,loc
dlc20221128lcwaN0000464eng,2,recordInfo,loc
lcwaN0000464,2,identifier,loc
203,2,identifier,loc
http://www.uspacifistparty.org/,2,identifier,loc
768,2,identifier,loc
general,2,targetAudience,loc
2004022620210416,2,originInfo,loc
United States Elections Web Archive,2,relatedItem,loc
Researcher and Reference Services Division,2,relatedItem,loc
http://www.uspacifistparty.org/768http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000768.jpgNone2004022620210416,2,relatedItem,loc
website,2,genre,loc
None,2,part,loc
text,2,typeOfResource,loc
None,2,accessCondition,loc
"Lyttle, Bradford James",2,subject,loc
Political candidatesUnited States,2,subject,loc
ElectionsUnited States,2,subject,loc
Politics and governmentUnited States,2,subject,loc
"United States Elections, 2008",2,subject,loc
United StatesPresident,2,subject,loc
Independent candidates,2,subject,loc
United States,2,subject,loc
electronictext/htmlborn digital,2,physicalDescription,loc
eng,2,language,loc
"Lyttle, Bradford James",2,name,loc
"Lyttle, Bradford James",2,name,loc
United StatesPresident,2,name,loc
Independent candidates,2,name,loc
Official Campaign Website - Bradford James Lyttle,2,titleInfo,loc
United States Elections Web Archive,2,titleInfo,loc
Researcher and Reference Services Division,2,titleInfo,loc
dlc20221128lcwaN0006242eng,1,recordInfo,loc
lcwaN0006242,1,identifier,loc
826,1,identifier,loc
http://www.barackobama.com/,1,identifier,loc
8536,1,identifier,loc
http://www.obamaforillinois.com/,1,identifier,loc
8535,1,identifier,loc
general,1,targetAudience,loc
2004011320210514,1,originInfo,loc
2004011620051221,1,originInfo,loc
United States Elections Web Archive,1,relatedItem,loc
Researcher and Reference Services Division,1,relatedItem,loc
http://www.barackobama.com/8536http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0008536.jpghttp://ofa.bohttp://gottavote.comhttp://gottavote.orghttp://gobackteam.comhttp://unpasoatras.comhttp://barackobama.comhttp://welfarefacts.orghttp://votemostodos.orghttp://medicarefacts.comhttp://gottaregister.comhttp://inscribetehoy.comhttp://ownyourvotewi.comhttp://romneyeconomics.comhttp://keepinggophonest.comhttp://dearromney.tumblr.comhttp://romneyryanrevealed.comhttp://barackobama.tumblr.comhttp://www.keepinghisword.comhttp://www.gopdebatewatch.comhttp://pinterest.com/barackobama/http://www.youtube.com/BarackObamahttp://web.stagram.com/n/barackobamahttp://www.flickr.com/BarackObamaDotComhttp://obamaforamerica.theresumator.comhttp://www.youtube.com/user/BarackObamadotcomhttp://www.gottaregister.com/?source=footer-navhttp://storify.com/barackobama_com/happy-mother-s-day2004011320210514,1,relatedItem,loc
http://www.obamaforillinois.com/8535http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0008535.jpg2004011620051221,1,relatedItem,loc
website,1,genre,loc
http://ofa.bohttp://gottavote.comhttp://gottavote.orghttp://gobackteam.comhttp://unpasoatras.comhttp://barackobama.comhttp://welfarefacts.orghttp://votemostodos.orghttp://medicarefacts.comhttp://gottaregister.comhttp://inscribetehoy.comhttp://ownyourvotewi.comhttp://romneyeconomics.comhttp://keepinggophonest.comhttp://dearromney.tumblr.comhttp://romneyryanrevealed.comhttp://barackobama.tumblr.comhttp://www.keepinghisword.comhttp://www.gopdebatewatch.comhttp://pinterest.com/barackobama/http://www.youtube.com/BarackObamahttp://web.stagram.com/n/barackobamahttp://www.flickr.com/BarackObamaDotComhttp://obamaforamerica.theresumator.comhttp://www.youtube.com/user/BarackObamadotcomhttp://www.gottaregister.com/?source=footer-navhttp://storify.com/barackobama_com/happy-mother-s-day,1,part,loc
text,1,typeOfResource,loc
None,1,accessCondition,loc
"Obama, Barack",1,subject,loc
Political candidatesUnited States,1,subject,loc
ElectionsUnited States,1,subject,loc
Politics and governmentUnited States,1,subject,loc
"United States Elections, 2004",1,subject,loc
United StatesCongressSenate,1,subject,loc
Democratic Party,1,subject,loc
Illinois,1,subject,loc
"United States Elections, 2008",1,subject,loc
United StatesPresident,1,subject,loc
Democratic Party,1,subject,loc
United States,1,subject,loc
"United States Elections, 2012",1,subject,loc
United StatesPresident,1,subject,loc
Democratic Party,1,subject,loc
United States,1,subject,loc
electronictext/htmlborn digital,1,physicalDescription,loc
eng,1,language,loc
"Obama, Barack",1,name,loc
"Obama, Barack",1,name,loc
United StatesCongressSenate,1,name,loc
Democratic Party,1,name,loc
United StatesPresident,1,name,loc
Democratic Party,1,name,loc
United StatesPresident,1,name,loc
Democratic Party,1,name,loc
Official Campaign Website - Barack Obama,1,titleInfo,loc
United States Elections Web Archive,1,titleInfo,loc
Researcher and Reference Services Division,1,titleInfo,loc
